feature,importance_mean,importance_std
koi_fpflag_ss,0.060105487599595955,0.013050874828904406
koi_fpflag_co,0.03981595780496013,0.007093707122951495
koi_score,0.009695881494781688,0.0028970372820592014
koi_fpflag_nt,0.009246998092245485,0.0018338411595390492
koi_fpflag_ec,0.002682078330153703,0.0007535527758590329
koi_impact,0.001975086971159179,0.001372768819066149
koi_period,0.0008977668050723419,0.000437517420931835
koi_time0bk,0.000594770508360376,0.00041094901635284917
koi_kepmag,0.00021321961620459628,0.00029456637298634966
koi_duration,5.611042531692423e-05,0.0003764001757658851
koi_model_snr,1.1222085063378184e-05,0.00012745838504769119
koi_depth,-3.366625519022337e-05,0.00018129833263837272
koi_slogg,-0.0001122208506340594,0.00011222085063407051
koi_srad,-0.00016833127595109466,0.00011499215313615022
koi_prad,-0.00017955336101453944,0.00035910672202895403
koi_steff,-0.00019077544607798425,0.00015097771346733456
koi_insol,-0.00026933004152174256,0.0001752945724589263
